"category","sub_category","zh","en","slug","priority","status","source_key"
"前端与 Web 平台","基础结构","组件","Component","component","P0","existing","REACT"
"前端与 Web 平台","交互状态","状态","State","state","P0","existing","REACT"
"前端与 Web 平台","布局适配","响应式布局","Responsive Design","responsive","P0","existing","MDN"
"前端与 Web 平台","样式","CSS","Cascading Style Sheets","css","P0","existing","MDN"
"前端与 Web 平台","表单","表单","Form","form","P0","existing","MDN"
"前端与 Web 平台","基础结构","HTML","HyperText Markup Language","html","P0","existing","MDN"
"前端与 Web 平台","浏览器","DOM","Document Object Model","dom","P0","existing","MDN"
"前端与 Web 平台","编程语言","JavaScript","JavaScript","javascript","P0","candidate","MDN"
"前端与 Web 平台","组件语法","JSX","JavaScript XML","jsx","P1","candidate","REACT"
"前端与 Web 平台","基础结构","元素","Element","element","P1","candidate","MDN"
"前端与 Web 平台","基础结构","属性","Attribute","attribute","P1","candidate","MDN"
"前端与 Web 平台","基础结构","语义化 HTML","Semantic HTML","semantic-html","P0","candidate","MDN"
"前端与 Web 平台","样式","CSS 选择器","CSS Selector","css-selector","P0","candidate","MDN"
"前端与 Web 平台","样式","盒模型","Box Model","box-model","P0","candidate","MDN"
"前端与 Web 平台","样式","层叠","Cascade","cascade","P1","candidate","MDN"
"前端与 Web 平台","样式","CSS 优先级","Specificity","specificity","P1","candidate","MDN"
"前端与 Web 平台","布局适配","弹性布局","Flexbox","flexbox","P0","candidate","MDN"
"前端与 Web 平台","布局适配","网格布局","CSS Grid Layout","css-grid","P0","candidate","MDN"
"前端与 Web 平台","布局适配","定位","Positioning","positioning","P1","candidate","MDN"
"前端与 Web 平台","布局适配","断点","Breakpoint","breakpoint","P0","candidate","MDN"
"前端与 Web 平台","布局适配","媒体查询","Media Query","media-query","P0","candidate","MDN"
"前端与 Web 平台","布局适配","视口","Viewport","viewport","P1","candidate","MDN"
"前端与 Web 平台","交互状态","事件","Event","event","P0","candidate","MDN"
"前端与 Web 平台","交互状态","事件冒泡","Event Bubbling","event-bubbling","P1","candidate","MDN"
"前端与 Web 平台","交互状态","事件委托","Event Delegation","event-delegation","P2","candidate","MDN"
