"category","sub_category","zh","en","slug","priority","status","source_key"
"编程基础与计算机概念","程序构成","常量","Constant","constant","P0","candidate","PYTHON"
"编程基础与计算机概念","程序构成","表达式","Expression","expression","P0","candidate","ECMASCRIPT"
"编程基础与计算机概念","程序构成","运算符","Operator","operator","P0","candidate","ECMASCRIPT"
"编程基础与计算机概念","程序构成","语句","Statement","statement","P0","candidate","ECMASCRIPT"
"编程基础与计算机概念","程序构成","字面量","Literal","literal","P1","candidate","ECMASCRIPT"
"编程基础与计算机概念","程序构成","操作数","Operand","operand","P1","candidate","ECMASCRIPT"
"编程基础与计算机概念","错误处理","错误处理","Error Handling","error-handling","P0","candidate","PYTHON"
"编程基础与计算机概念","错误处理","异常","Exception","exception","P0","candidate","PYTHON"
"编程基础与计算机概念","错误处理","捕获异常","Exception Catching","exception-catching","P1","candidate","PYTHON"
"编程基础与计算机概念","对象模型","类","Class","class","P0","candidate","PYTHON"
"编程基础与计算机概念","对象模型","实例","Instance","instance","P0","candidate","PYTHON"
"编程基础与计算机概念","对象模型","方法","Method","method","P0","candidate","PYTHON"
"编程基础与计算机概念","对象模型","对象","Object","object","P0","candidate","ECMASCRIPT"
"编程基础与计算机概念","对象模型","抽象","Abstraction","abstraction","P1","candidate","CNCF"
"编程基础与计算机概念","对象模型","组合","Composition","composition","P1","candidate","PYTHON"
"编程基础与计算机概念","对象模型","构造函数","Constructor","constructor","P1","candidate","ECMASCRIPT"
"编程基础与计算机概念","对象模型","封装","Encapsulation","encapsulation","P1","candidate","PYTHON"
"编程基础与计算机概念","对象模型","继承","Inheritance","inheritance","P1","candidate","PYTHON"
"编程基础与计算机概念","对象模型","接口实现","Interface Implementation","interface-implementation","P1","candidate","TS"
"编程基础与计算机概念","对象模型","多态","Polymorphism","polymorphism","P2","candidate","PYTHON"
"编程基础与计算机概念","函数","回调函数","Callback Function","callback-function","P0","candidate","NODE"
"编程基础与计算机概念","函数","函数","Function","function","P0","candidate","PYTHON"
"编程基础与计算机概念","函数","参数","Parameter","parameter","P0","candidate","PYTHON"
"编程基础与计算机概念","函数","返回值","Return Value","return-value","P0","candidate","PYTHON"
"编程基础与计算机概念","函数","匿名函数","Anonymous Function","anonymous-function","P1","candidate","ECMASCRIPT"
"编程基础与计算机概念","函数","实参","Argument","argument","P1","candidate","PYTHON"
"编程基础与计算机概念","函数","高阶函数","Higher-order Function","higher-order-function","P1","candidate","PYTHON"
"编程基础与计算机概念","函数","纯函数","Pure Function","pure-function","P1","candidate","ECMASCRIPT"
"编程基础与计算机概念","函数","递归","Recursion","recursion","P1","candidate","PYTHON"
"编程基础与计算机概念","函数","记忆化","Memoization","memoization","P2","candidate","PYTHON"
"编程基础与计算机概念","控制流","条件分支","Conditional Branch","conditional-branch","P0","candidate","PYTHON"
"编程基础与计算机概念","控制流","循环","Loop","loop","P0","candidate","PYTHON"
"编程基础与计算机概念","控制流","生成器","Generator","generator","P1","candidate","PYTHON"
"编程基础与计算机概念","控制流","可迭代对象","Iterable","iterable","P1","candidate","ECMASCRIPT"
"编程基础与计算机概念","控制流","迭代器","Iterator","iterator","P1","candidate","ECMASCRIPT"
"编程基础与计算机概念","控制流","状态机","State Machine","state-machine","P1","candidate","PRODUCT"
"编程基础与计算机概念","控制流","有限状态机","Finite-state Machine","finite-state-machine","P2","candidate","PRODUCT"
"编程基础与计算机概念","类型与值","空值","Null","null-value","P0","candidate","ECMASCRIPT"
"编程基础与计算机概念","类型与值","类型转换","Type Conversion","type-conversion","P0","candidate","ECMASCRIPT"
"编程基础与计算机概念","类型与值","未定义值","Undefined","undefined","P0","candidate","ECMASCRIPT"
"编程基础与计算机概念","类型与值","枚举","Enumeration","enumeration","P1","candidate","TS"
"编程基础与计算机概念","类型与值","元组","Tuple","tuple","P1","candidate","PYTHON"
"编程基础与计算机概念","类型与值","类型强制转换","Type Coercion","type-coercion","P1","candidate","ECMASCRIPT"
"编程基础与计算机概念","数据结构","数组","Array","array","P0","candidate","ECMASCRIPT"
"编程基础与计算机概念","数据结构","列表","List","list-data-structure","P0","candidate","PYTHON"
"编程基础与计算机概念","数据结构","映射","Map","map-data-structure","P0","candidate","ECMASCRIPT"
"编程基础与计算机概念","数据结构","集合","Set","set-data-structure","P0","candidate","PYTHON"
"编程基础与计算机概念","数据结构","图","Graph","graph-data-structure","P1","candidate","PYTHON"
"编程基础与计算机概念","数据结构","哈希表","Hash Table","hash-table","P1","candidate","PYTHON"
